BaseName,Temperature,Variant
Александр,Affectionate,Сашенька
Александр,Diminutive,Сашенька
Александр,Formal,Александр
Александр,Intimate,Сашка
Александр,Neutral,Саша
Александр,Playful,Сашулик
Алексей,Affectionate,Лёшенька
Алексей,Diminutive,Лёшенька
Алексей,Formal,Алексей
Алексей,Intimate,Лёшка
Алексей,Neutral,Лёша
Алексей,Playful,Лёшик
Анастасия,Affectionate,Настенька
Анастасия,Diminutive,Настенька
Анастасия,Formal,Анастасия
Анастасия,Intimate,Настюха
Анастасия,Neutral,Настя
Анастасия,Playful,Настюля
Анна,Affectionate,Анечка
Анна,Diminutive,Анечка
Анна,Formal,Анна
Анна,Intimate,Анька
Анна,Neutral,Аня
Анна,Playful,Анюта
Виктория,Affectionate,Викулечка
Виктория,Diminutive,Викулечка
Виктория,Formal,Виктория
Виктория,Intimate,Викка
Виктория,Neutral,Вика
Виктория,Playful,Викуся
Георгий,Affectionate,Жоржик
Георгий,Diminutive,Жоржик
Георгий,Formal,Георгий
Георгий,Intimate,Жорка
Георгий,Neutral,Жора
Георгий,Playful,Гоша
Дмитрий,Affectionate,Димочка
Дмитрий,Diminutive,Димочка
Дмитрий,Formal,Дмитрий
Дмитрий,Intimate,Димка
Дмитрий,Neutral,Дима
Дмитрий,Playful,Димуля
Евгений,Affectionate,Женечка
Евгений,Diminutive,Женечка
Евгений,Formal,Евгений
Евгений,Intimate,Женька
Евгений,Neutral,Женя
Евгений,Playful,Жека
Екатерина,Affectionate,Катюша
Екатерина,Diminutive,Катюша
Екатерина,Formal,Екатерина
Екатерина,Intimate,Катька
Екатерина,Neutral,Катя
Екатерина,Playful,Катюня
Елена,Affectionate,Леночка
Елена,Diminutive,Леночка
Елена,Formal,Елена
Елена,Intimate,Лёнька
Елена,Neutral,Лена
Елена,Playful,Ленуся
Иван,Affectionate,Ванечка
Иван,Diminutive,Ванечка
Иван,Formal,Иван
Иван,Intimate,Ванька
Иван,Neutral,Ваня
Иван,Playful,Ванюша
Игорь,Affectionate,Игорёчек
Игорь,Diminutive,Игорёчек
Игорь,Formal,Игорь
Игорь,Intimate,Игорька
Игорь,Neutral,Игорёк
Игорь,Playful,Игорюша
Людмила,Affectionate,Людочка
Людмила,Diminutive,Людочка
Людмила,Formal,Людмила
Людмила,Intimate,Люська
Людмила,Neutral,Люда
Людмила,Playful,Люсюша
Мария,Affectionate,Машенька
Мария,Diminutive,Машенька
Мария,Formal,Мария
Мария,Intimate,Машка
Мария,Neutral,Маша
Мария,Playful,Машуня
Михаил,Affectionate,Мишенька
Михаил,Diminutive,Мишенька
Михаил,Formal,Михаил
Михаил,Intimate,Мишка
Михаил,Neutral,Миша
Михаил,Playful,Мишулик
Наталья,Affectionate,Наташенька
Наталья,Diminutive,Наташенька
Наталья,Formal,Наталья
Наталья,Intimate,Наташка
Наталья,Neutral,Наташа
Наталья,Playful,Наташуля
Николай,Affectionate,Коленька
Николай,Diminutive,Коленька
Николай,Formal,Николай
Николай,Intimate,Колька
Николай,Neutral,Коля
Николай,Playful,Колюша
Ольга,Affectionate,Олечка
Ольга,Diminutive,Олечка
Ольга,Formal,Ольга
Ольга,Intimate,Олька
Ольга,Neutral,Оля
Ольга,Playful,Олюшка
Сергей,Affectionate,Серёженька
Сергей,Diminutive,Серёженька
Сергей,Formal,Сергей
Сергей,Intimate,Серёжка
Сергей,Neutral,Серёжа
Сергей,Playful,Серёжик
Светлана,Affectionate,Светочка
Светлана,Diminutive,Светочка
Светлана,Formal,Светлана
Светлана,Intimate,Светка
Светлана,Neutral,Света
Светлана,Playful,Светуся
Татьяна,Affectionate,Танечка
Татьяна,Diminutive,Танечка
Татьяна,Formal,Татьяна
Татьяна,Intimate,Танька
Татьяна,Neutral,Таня
Татьяна,Playful,Танюша
Юлия,Affectionate,Юлечка
Юлия,Diminutive,Юлечка
Юлия,Formal,Юлия
Юлия,Intimate,Юлька
Юлия,Neutral,Юля
Юлия,Playful,Юленька
